model,accuracy,precision,recall,f1,roc_auc
baseline_majority_class,0.7400107700592353,0.7400107700592353,1.0,0.8505818271849468,0.5
logistic_regression,0.9206605636331,0.9344633835402993,0.9601222529471692,0.9471190658499234,0.9705182658021559
random_forest,0.9251480883144857,0.9467592592592593,0.9524086741376802,0.9495755641007038,0.978254161831604
